Data,Cliques,Impressões,CTR,Posição
2025-11-02,12,745,1.61%,12.15
2025-11-01,14,650,2.15%,11.24
2025-10-31,39,1622,2.4%,12.32
2025-10-30,25,1936,1.29%,8.91
2025-10-29,56,2125,2.64%,8.22
2025-10-28,41,2049,2%,8.8
2025-10-27,45,2212,2.03%,9.64
2025-10-26,9,763,1.18%,8.98
2025-10-25,15,730,2.05%,8.89
2025-10-24,28,1715,1.63%,8.66
2025-10-23,44,1954,2.25%,8.79
2025-10-22,54,2150,2.51%,9.18
2025-10-21,33,2218,1.49%,8.68
2025-10-20,41,2242,1.83%,9.12
2025-10-19,17,871,1.95%,9.42
2025-10-18,13,837,1.55%,8.88
2025-10-17,42,1923,2.18%,9.48
2025-10-16,32,2275,1.41%,9.39
2025-10-15,43,2273,1.89%,9.31
2025-10-14,39,2376,1.64%,9.34
2025-10-13,48,2544,1.89%,9.01
2025-10-12,10,844,1.18%,9.71
2025-10-11,10,791,1.26%,9.27
2025-10-10,44,2179,2.02%,8.92
2025-10-09,38,2633,1.44%,9.11
2025-10-08,37,2786,1.33%,8.79
2025-10-07,39,2721,1.43%,8.74
2025-10-06,34,2999,1.13%,9.06
2025-10-05,12,831,1.44%,9.13
2025-10-04,9,864,1.04%,9.32
2025-10-03,48,2633,1.82%,8.76
2025-10-02,39,3289,1.19%,8.74
2025-10-01,36,3300,1.09%,8.55
2025-09-30,31,3599,0.86%,8.99
2025-09-29,43,3758,1.14%,8.96
2025-09-28,10,995,1.01%,10.02
2025-09-27,8,1046,0.76%,8.72
2025-09-26,33,2918,1.13%,8.87
2025-09-25,58,3649,1.59%,8.85
2025-09-24,56,3906,1.43%,8.68
2025-09-23,44,3813,1.15%,8.83
2025-09-22,48,3701,1.3%,8.83
2025-09-21,16,1152,1.39%,9.05
2025-09-20,12,1073,1.12%,8.93
2025-09-19,39,3225,1.21%,9.16
2025-09-18,46,4186,1.1%,9.47
2025-09-17,59,4227,1.4%,8.88
2025-09-16,63,4504,1.4%,8.47
2025-09-15,63,4809,1.31%,8.73
2025-09-14,17,1307,1.3%,10.03
2025-09-13,17,1384,1.23%,8.98
2025-09-12,37,3961,0.93%,9.83
2025-09-11,60,4746,1.26%,11.33
2025-09-10,49,5198,0.94%,12.09
2025-09-09,68,4575,1.49%,13.02
2025-09-08,61,4411,1.38%,12.96
2025-09-07,14,1677,0.83%,23.14
2025-09-06,14,1686,0.83%,22.57
2025-09-05,38,3467,1.1%,15.33
2025-09-04,40,4340,0.92%,13.95
2025-09-03,58,4012,1.45%,13.31
2025-09-02,60,4120,1.46%,13.35
2025-09-01,55,4169,1.32%,14.11
2025-08-31,24,1678,1.43%,24.69
2025-08-30,15,1598,0.94%,22.51
2025-08-29,34,3524,0.96%,14.99
2025-08-28,56,4436,1.26%,14.19
2025-08-27,47,4533,1.04%,13.93
2025-08-26,57,4750,1.2%,13.75
2025-08-25,51,5152,0.99%,13.65
2025-08-24,19,3455,0.55%,30.26
2025-08-23,21,1778,1.18%,21.21
2025-08-22,53,4108,1.29%,14.26
2025-08-21,57,5150,1.11%,12.41
2025-08-20,80,5888,1.36%,11.93
2025-08-19,67,5069,1.32%,12.93
2025-08-18,65,4710,1.38%,12.2
2025-08-17,17,1578,1.08%,19.36
2025-08-16,24,1599,1.5%,19.57
2025-08-15,35,3549,0.99%,14.12
2025-08-14,49,4534,1.08%,12.14
2025-08-13,71,4875,1.46%,11.39
2025-08-12,69,4855,1.42%,11.73
2025-08-11,58,4129,1.4%,12.29
2025-08-10,14,1405,1%,19.2
2025-08-09,20,1481,1.35%,19.85
2025-08-08,53,3952,1.34%,13.03
2025-08-07,57,4940,1.15%,11.99
2025-08-06,61,4561,1.34%,12.45
2025-08-05,70,4586,1.53%,12.17
2025-08-04,63,4731,1.33%,12.56
2025-08-03,32,1857,1.72%,17.61
